budget,revenue,runtime,video,actorsPopularity_mean,popularity,voteAvg,voteCount,genresAmount,productionCoAmount,productionCountriesAmount,actorsAmount,castWomenAmount,castMenAmount,releaseYear
12000000.0,38587181.0,0,0,0.07288750000000001,0.3139,8.0,1,2,3,1,8,1.0,1.0,2026.0
12000000.0,38587181.0,0,0,1.13121,0.7628,0.0,0,1,5,1,10,2.0,7.0,2026.0
51717.0,38587181.0,33,0,0.0011833333333333333,0.231,5.0,1,2,2,1,6,0.0,0.0,2026.0
12000000.0,38587181.0,0,0,0.0071,0.1195,10.0,1,1,1,0,1,0.0,0.0,2026.0
12000000.0,38587181.0,13,0,0.0951,0.0684,0.0,0,2,1,1,3,0.0,1.0,2026.0
12000000.0,38587181.0,0,0,0.0070999999999999995,0.0338,0.0,0,1,0,0,3,0.0,0.0,2026.0
50.0,38587181.0,0,0,0.00355,0.0717,0.0,0,3,1,1,4,0.0,0.0,2026.0
1000.0,38587181.0,13,0,0.02657,0.0861,0.0,0,2,2,0,10,1.0,2.0,2026.0
12000000.0,38587181.0,25,0,0.0143,0.0593,0.0,0,0,0,0,1,0.0,0.0,2026.0
12000000.0,38587181.0,90,0,0.24535000000000004,0.9601,0.0,0,1,0,1,4,1.0,2.0,2026.0
856.0,38587181.0,0,0,0.022166666666666668,0.0987,0.0,0,1,0,1,6,1.0,0.0,2026.0
12000000.0,38587181.0,0,0,0.4043571428571429,0.5146,0.0,0,1,1,1,7,1.0,3.0,2026.0
12000000.0,38587181.0,113,0,0.010333333333333333,0.1575,0.0,0,0,0,0,3,0.0,0.0,2026.0
120.0,38587181.0,0,0,0.016075,0.0532,0.0,0,1,0,1,4,2.0,0.0,2026.0
12000000.0,38587181.0,11,0,0.011449999999999998,0.0864,0.0,0,6,0,0,10,5.0,3.0,2026.0
1200.0,38587181.0,0,0,0.023100000000000002,0.186,10.0,1,3,1,1,7,2.0,1.0,2026.0
